Rank,Major,Degree Type,Early Career Pay,Mid-Career Pay,% High Meaning
205,Industrial Management,Bachelors,"$65,200","$111,900",51%
205,Information Assurance,Bachelors,"$61,600","$111,900",60%
205,Telecommunication & Information Management,Bachelors,"$66,800","$111,900",42%
208,Environmental Policy Analysis & Planning,Bachelors,"$58,200","$111,600",67%
208,Pharmaceutical Sciences (PS),Bachelors,"$60,900","$111,600",69%
210,Aviation,Bachelors,"$65,000","$111,400",52%
210,Business & Marketing,Bachelors,"$59,000","$111,400",46%
210,Computer Networking Systems,Bachelors,"$64,000","$111,400",48%
210,Organizational Behavior,Bachelors,"$63,500","$111,400",56%
214,Consumer Economics,Bachelors,"$60,600","$111,300",46%
214,Information Technology (IT),Bachelors,"$67,800","$111,300",46%
214,Sales & Business Marketing,Bachelors,"$63,900","$111,300",55%
217,Aviation Management,Bachelors,"$58,000","$111,200",56%
217,Informatics,Bachelors,"$78,700","$111,200",46%
219,Industrial Safety,Bachelors,"$59,400","$111,100",82%
219,Structural Design & Construction Engineering Technology,Bachelors,"$77,000","$111,100",48%
221,Computer Security,Bachelors,"$76,500","$110,800",43%
221,Hotel Administration,Bachelors,"$76,800","$110,800",37%
221,Software Applications & Programming,Bachelors,"$71,400","$110,800",33%
224,Occupational Health and Safety,Bachelors,"$66,800","$110,700",69%
225,Database Management,Bachelors,"$74,500","$110,600",-
226,Business Technology Management,Bachelors,"$69,600","$110,400",41%
226,Production Management,Bachelors,"$55,800","$110,400",27%
228,Business & Finance,Bachelors,"$63,600","$109,800",54%
229,Environmental Health & Safety,Bachelors,"$64,800","$109,600",66%
229,Information Technology (IT) & Systems,Bachelors,"$70,400","$109,600",47%
229,Telecommunications Management,Bachelors,"$60,600","$109,600",46%
232,Electronics Engineering Technology (EET),Bachelors,"$72,600","$109,300",51%
232,Marketing & Management,Bachelors,"$57,700","$109,300",47%
232,Operations & Supply Chain Management,Bachelors,"$69,300","$109,300",45%
232,Physical Therapy,Bachelors,"$54,900","$109,300",88%
232,Politics,Bachelors,"$59,500","$109,300",51%
237,Physics & Astronomy,Bachelors,"$63,700","$109,200",33%
238,Agribusiness,Bachelors,"$57,600","$109,000",53%
238,Chemistry,Bachelors,"$58,500","$109,000",56%
238,Finance & Banking,Bachelors,"$62,600","$109,000",47%
241,Aviation Flight Science (AFL),Bachelors,"$61,500","$108,800",49%
242,Construction Science & Management,Bachelors,"$73,800","$108,600",75%
243,Marketing,Bachelors,"$58,200","$108,400",41%
244,Cell Biology,Bachelors,"$56,800","$108,100",55%
244,Civil Engineering Technology (CET),Bachelors,"$66,000","$108,100",61%
244,Genetics,Bachelors,"$61,200","$108,100",72%
247,Government & Politics,Bachelors,"$59,500","$107,800",51%
248,Biopsychology,Bachelors,"$60,300","$107,500",74%
248,Applied Networking & Systems Administration,Bachelors,"$67,200","$107,500",44%
250,Industrial Technology (IT),Bachelors,"$71,700","$107,400",50%
251,Geological Engineering,Bachelors,"$68,400","$107,200",51%
251,Real Estate Development,Bachelors,"$66,600","$107,200",-
253,Accounts,Bachelors,"$67,100","$107,100",44%
253,Electromechanical Engineering,Bachelors,"$79,100","$107,100",56%
255,Risk Management,Bachelors,"$68,500","$107,000",37%
255,Social Ecology,Bachelors,"$55,400","$107,000",-
257,Microbiology & Immunology,Bachelors,"$63,500","$106,800",74%
258,French Literature,Bachelors,"$53,900","$106,600",50%
259,City & Regional Planning,Bachelors,"$58,600","$106,500",70%
259,Construction Technology,Bachelors,"$71,500","$106,500",-
259,Italian Language,Bachelors,"$56,600","$106,500",40%
259,Marketing Communication,Bachelors,"$52,200","$106,500",42%
263,Business Management & Marketing,Bachelors,"$56,900","$106,400",45%
263,Industrial Design (ID),Bachelors,"$62,900","$106,400",40%
265,Marketing & Communications,Bachelors,"$56,400","$106,300",46%
266,Political Science,Bachelors,"$57,700","$106,200",47%
267,Advertising Design,Bachelors,"$58,000","$106,100",32%
267,Manufacturing Management,Bachelors,"$72,300","$106,100",48%
269,Computer Information Systems,Bachelors,"$65,100","$106,000",45%
269,Network Security,Bachelors,"$68,000","$106,000",52%
269,Risk Management & Insurance,Bachelors,"$67,400","$106,000",46%
272,Comparative Literature,Bachelors,"$53,600","$105,800",49%
272,Sales & Marketing,Bachelors,"$61,100","$105,800",49%
274,Welding Engineering Technology,Bachelors,"$82,700","$105,600",42%
275,Philosophy,Bachelors,"$60,500","$105,500",42%
